Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
5362.0,210.0,75.0,2.0,19.0,39.0,7.691689711841826,7.870417833421368,157.0,324.0,193696.0,1233.7324840764331,5290.0,5426.0,5427.0,2.0526315789473686,563930.0,1740.5246913580247,2.4701984494705163,4.955264234433436,0.02876490667852824,0.9277383672780848,2.1498093918818557,1.222071024603771,xy3,285.0
5367.0,216.0,69.0,2.0,20.0,39.0,8.344388612451002,7.807698160623141,167.0,307.0,214663.0,1285.4071856287426,5262.0,5424.0,5425.0,1.95,422594.0,1376.5276872964168,2.3968202979134006,4.9950701471389065,0.02903605967720241,1.143848309112827,2.11689802243344,0.9730497133206129,xy3,285.0
5368.0,216.0,108.0,2.0,20.0,65.0,8.300223116698705,8.14136526569888,170.0,530.0,207467.0,1220.394117647059,5262.0,5480.0,5481.0,3.25,816210.0,1540.0188679245282,2.409573781187067,7.983918897958965,0.03274041656504572,1.1327396096910367,3.9388508527858948,2.806111243094858,xy3,324.0
5379.0,240.0,93.0,2.0,16.0,28.0,9.289830718147922,9.093036437121146,155.0,263.0,331051.0,2135.8129032258066,5285.0,5492.0,5493.0,1.75,711254.0,2704.3878326996196,1.722313407578417,3.079279423724029,0.018052122191465247,1.0624354564803862,1.9697084157819416,0.9072729593015554,xy3,333.0
5380.0,240.0,66.0,2.0,20.0,32.0,9.806843641927646,9.455069854040214,197.0,303.0,340140.0,1726.5989847715737,5285.0,5448.0,5449.0,1.6,645738.0,2131.1485148514853,2.0393921561564508,3.384427666214035,0.02136380132935162,1.5351997601012188,2.4605545639715896,0.9253548038703707,xy3,306.0
5383.0,246.0,111.0,2.0,18.0,34.0,7.085322568281289,8.577190527950165,128.0,292.0,325317.0,2541.5390625,5284.0,5529.0,5530.0,1.8888888888888888,717975.0,2458.818493150685,2.5404630243060793,3.9640019525281023,0.01718888558702695,0.7490138929720342,2.1857723260391935,1.4367584330671592,xy3,357.0
5384.0,246.0,99.0,2.0,14.0,30.0,8.460078477704185,8.852737430617042,119.0,266.0,329675.0,2770.378151260504,5284.0,5505.0,5506.0,2.142857142857143,696142.0,2617.0751879699246,1.6548309849484029,3.388782310005661,0.023095153092330213,0.7634361318717985,2.0225111546848513,1.259075022813053,xy3,345.0
5399.0,267.0,99.0,2.0,16.0,32.0,8.024488606040318,8.612887291173683,135.0,276.0,207719.0,1538.6592592592592,5342.0,5538.0,5539.0,2.0,513544.0,1860.6666666666667,1.9938965316688506,3.715362678993021,0.02100446001696804,0.8186356296918221,2.0616113826966744,1.2429757530048522,xy3,366.0
5400.0,267.0,84.0,2.0,16.0,29.0,8.29197471719467,8.580668842141783,133.0,252.0,210603.0,1583.4812030075188,5342.0,5516.0,5517.0,1.8125,425870.0,1689.9603174603174,1.9295765539204515,3.3796899208571993,0.021239539562381893,0.8682726337138678,1.8362309427038905,0.9679583089900228,xy3,351.0
5403.0,273.0,54.0,2.0,19.0,32.0,8.07782101275202,8.612288191170606,156.0,279.0,248811.0,1594.9423076923076,5361.0,5488.0,5489.0,1.6842105263157894,463871.0,1662.6200716845879,2.352119460186816,3.7156211322336707,0.028960940201849236,1.015210565590829,2.061338719076968,1.0461281534861389,xy3,327.0
